dataset_id,window_start,e_conn_count,e_unique_dst_ip,e_unique_dst_port,e_mean_duration,e_std_duration,e_mean_orig_bytes,e_mean_resp_bytes,e_mean_orig_pkts,e_mean_resp_pkts,e_tcp_ratio,e_udp_ratio,e_dns_ratio,e_ssl_ratio,e_http_ratio,e_rej_ratio,e_rst_ratio,e_interarrival_std,y
example3,1609877815,1,1,1,25.984632,0.0,624.0,597146.0,256.0,437.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
example3,1609877820,8,7,5,39.87426725,50.464761606105455,160557.125,14008.25,137.875,88.875,0.75,0.25,0.25,0.375,0.125,0.0,0.25,0.4427983307829093,2
example3,1609877840,46,17,4,3.1015791739130436,8.14466192537458,55757.717391304344,909.9130434782609,45.73913043478261,30.456521739130434,0.782608695652174,0.21739130434782608,0.21739130434782608,0.021739130434782608,0.0,0.5652173913043478,0.5652173913043478,0.08813998834706886,2
example3,1609877845,17,14,5,9.703313058823529,20.197458794006337,90483.41176470589,72784.76470588235,103.47058823529412,117.88235294117646,0.8823529411764706,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.47058823529411764,0.5294117647058824,0.31149644559152906,2
example3,1609877850,6,5,3,5.2872755,6.125992107317469,411.3333333333333,4049.6666666666665,10.333333333333334,10.833333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.795455986215723,2
example3,1609877855,8,4,3,4.06551125,4.470907847017867,496.375,3822.5,20.5,22.375,0.875,0.125,0.125,0.5,0.0,0.0,0.25,0.3437264959040211,2
example3,1609877860,26,14,4,3.2370724999999996,9.725377522183873,98675.92307692308,1728.5384615384614,80.42307692307692,49.88461538461539,0.7692307692307693,0.23076923076923078,0.23076923076923078,0.11538461538461539,0.0,0.3076923076923077,0.34615384615384615,0.2510755659150754,2
example3,1609877865,22,13,4,1.1193685,1.3555124681998838,33.86363636363637,199.8181818181818,2.3636363636363638,1.7272727272727273,0.6818181818181818,0.3181818181818182,0.3181818181818182,0.0,0.0,0.2727272727272727,0.2727272727272727,0.2169638935671282,2
example3,1609877870,8,6,4,0.9105376249999999,1.235716817104139,12.375,29.75,1.5,0.5,0.625,0.375,0.375,0.0,0.0,0.125,0.125,0.4859473563667993,2
example3,1609877875,9,9,3,0.6694047777777778,1.2523464112831275,0.0,0.0,1.4444444444444444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6339745359441661,2
example3,1609877880,19,13,4,0.7374782105263158,1.2317005174662334,34.0,368.10526315789474,1.894736842105263,1.105263157894737,0.7894736842105263,0.21052631578947367,0.21052631578947367,0.05263157894736842,0.0,0.15789473684210525,0.15789473684210525,0.46882778350151116,2
example3,1609877885,14,9,4,2.110556142857143,6.313439752198806,94.07142857142857,672.5,3.0714285714285716,2.9285714285714284,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.0,0.42857142857142855,0.42857142857142855,0.4020574347390457,2
example3,1609877890,4,4,3,0.0187155,0.032416196889055324,0.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.2811190783406575,2
example3,1609877895,3,3,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7028875350952148,2
example3,1609877905,4,1,1,0.195911,0.1266279410477798,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.12566538386501588,2
example3,1609877910,1,1,1,0.066453,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2
example3,1609877915,40,19,5,2.05988105,6.757922226920301,157.475,3078.4,4.825,5.75,0.5,0.5,0.5,0.075,0.025,0.175,0.225,0.15727647950295165,2
example3,1609877920,97,31,4,1.789533845360825,4.035179954671773,1164.3298969072166,1219.7835051546392,6.144329896907217,6.309278350515464,0.8556701030927835,0.14432989690721648,0.14432989690721648,0.14432989690721648,0.0,0.4948453608247423,0.5360824742268041,0.08392587560898218,2
